CONTINENT,REGION,WHO_REGION,ADMIN0,ADMIN0ID,ADMIN0_FIP,ADMIN0ISO2,ADMIN0ISO3,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,Alt_ADMIN2,ADMIN3,ADMIN3ID,IUs_ADM,IUs_NAME,IU_ID,IU_CODE,Year,PopTot,PopPreSAC,PopSAC,PopAdult,Endemicity,PopReq,PopTrg,PopTreat,Cov,Cum_MDA,MDA,EffMDA,MDA_n,EffMDA_n,EpiCov,EpiMDA,EpiEffMDA,EpiMDA_n,EpiEffMDA_n,MDA_scheme,Endemicity_ID,LF_MDA_left,Oncho_Endemicity,Loa_Endemicity,STH_Endemicity,SCH_Endemicity,MDA_strategy,Drugs,Adjusted_Round1,Adjusted_Round2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Collines,371,Dassa,3245,,,0,ADM2,Dassa,3245,BEN0037103245,2020,120830,16481,35887,63629,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Collines,371,Glazoue,3246,,,0,ADM2,Glazoue,3246,BEN0037103246,2020,113768,15518,33789,59910,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Collines,371,Ouesse,3247,,,0,ADM2,Ouesse,3247,BEN0037103247,2020,88541,12077,26297,46626,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Collines,371,Savalou,3248,,,0,ADM2,Savalou,3248,BEN0037103248,2020,154671,21097,45937,81450,Endemic (under post-intervention surveillance),0,0,0,0,7,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Collines,371,Save,3249,,,0,ADM2,Save,3249,BEN0037103249,2020,80283,10951,23844,42277,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Donga,372,Bassila,3250,,,0,ADM2,Bassila,3250,BEN0037203250,2020,127486,17389,37863,67134,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Donga,372,Copargo,3251,,,0,ADM2,Copargo,3251,BEN0037203251,2020,81900,11171,24324,43129,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),High prevalence (50% and above),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Donga,372,Djougou Rural,3252,,,0,ADM2,Djougou,3252,BEN0037203252,2020,226963,30958,67408,119519,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Couffo,373,Aplahoue,3254,,,0,ADM2,Aplahoue,3254,BEN0037303254,2020,196517,26805,58366,103486,Endemic (under post-intervention surveillance),0,0,0,0,6,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Couffo,373,Djakotome,3255,,,0,ADM2,Djakotome,3255,BEN0037303255,2020,128414,17516,38139,67623,Endemic (under post-intervention surveillance),0,0,0,0,6,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,High prevalence (50% and above),Moderate prevalence (10%-49%),MDA 1 / T1,ALB+IVM / PZQ+ALB-MBD,MDA 1,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Couffo,373,Dogbo-tota,3256,,,0,ADM2,Dogbo-tota,3256,BEN0037303256,2020,10888,1485,3234,5734,Endemic (under post-intervention surveillance),0,0,0,0,5,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Couffo,373,Klouekanme,3257,,,0,ADM2,Klouekanme,3257,BEN0037303257,2020,156164,21301,46381,82236,Endemic (under post-intervention surveillance),0,0,0,0,6,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Couffo,373,Toviklin,3258,,,0,ADM2,Toviklin,3258,BEN0037303258,2020,149661,20414,44449,78811,Endemic (under post-intervention surveillance),0,0,0,0,5,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),T1,PZQ+ALB-MBD,,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Littoral,374,Cotonou,3259,,,0,ADM2,Cotonou,3259,BEN0037403259,2020,847333,115576,251658,446206,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Mono,375,Bopa,3261,,,0,ADM2,Bopa,3261,BEN0037503261,2020,120152,16389,35685,63272,Endemic (under post-intervention surveillance),0,0,0,0,5,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Mono,375,Grand-popo,3263,,,0,ADM2,Grand-popo,3263,BEN0037503263,2020,71929,9811,21363,37878,Endemic (under post-intervention surveillance),0,0,0,0,5,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Couffo,373,Lalo,3265,,,0,ADM2,Lalo,3265,BEN0037303265,2020,143371,19556,42581,75499,Endemic (under post-intervention surveillance),0,0,0,0,5,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Mono,375,Lokossa,3266,,,0,ADM2,Lokossa,3266,BEN0037503266,2020,14329,1954,4256,7546,Endemic (under post-intervention surveillance),0,0,0,0,5,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Oueme,376,Adjarra,3267,,,0,ADM2,Adjarra,3267,BEN0037603267,2020,102455,13975,30429,53953,Endemic (under post-intervention surveillance),0,0,0,0,9,0,0,5,5,0,0,0,5,4,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Oueme,376,Adjohoun,3268,,,0,ADM2,Adjohoun,3268,BEN0037603268,2020,80455,10974,23895,42368,Endemic (under post-intervention surveillance),0,0,0,0,9,0,0,5,5,0,0,0,5,5,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Oueme,376,Avrankou,3271,,,0,ADM2,Avrankou,3271,BEN0037603271,2020,113223,15444,33627,59623,Endemic (under post-intervention surveillance),0,0,0,0,9,0,0,5,2,0,0,0,5,2,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Oueme,376,Bonou,3272,,,0,ADM2,Bonou,3272,BEN0037603272,2020,46971,6407,13950,24735,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,4,3,0,0,0,4,3,Not delivered,3,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Oueme,376,Dangbo,3273,,,0,ADM2,Dangbo,3273,BEN0037603273,2020,105195,14349,31243,55396,Endemic (under post-intervention surveillance),0,0,0,0,9,0,0,5,3,0,0,0,5,3,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),High prevalence (50% and above),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Plateau,377,Ketou,3274,,,0,ADM2,Ketou,3274,BEN0037703274,2020,150746,20562,44772,79383,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Oueme,376,Porto-Novo,3275,,,0,ADM2,Porto-Novo,3275,BEN0037603275,2020,329844,44991,97964,173696,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Plateau,377,Sakete,3276,,,0,ADM2,Sakete,3276,BEN0037703276,2020,90803,12386,26968,47817,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,5,4,0,0,0,5,4,Not delivered,3,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),T1,PZQ+ALB-MBD,,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Plateau,377,Ifangni,3279,,,0,ADM2,Ifangni,3279,BEN0037703279,2020,93580,12764,27793,49279,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,5,3,0,0,0,5,3,Not delivered,3,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),T1,PZQ+ALB-MBD,,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Plateau,377,Pobe,3280,,,0,ADM2,Pobe,3280,BEN0037703280,2020,113893,15535,33826,59976,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,5,2,0,0,0,5,2,Not delivered,3,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),T1,PZQ+ALB-MBD,,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Abomey,3281,,,0,ADM2,Abomey,3281,BEN0037803281,2020,75103,10244,22306,39549,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,5,2,0,0,0,5,2,Not delivered,3,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Agbangnizoun,3282,,,0,ADM2,Agbangnizoun,3282,BEN0037803282,2020,67616,9223,20082,35607,Endemic (under post-intervention surveillance),0,0,0,0,12,0,0,4,1,0,0,0,4,1,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Bohicon,3283,,,0,ADM2,Bohicon,3283,BEN0037803283,2020,163226,22264,48478,85955,Endemic (under post-intervention surveillance),0,0,0,0,9,0,0,5,2,0,0,0,5,2,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Djidja,3285,,,0,ADM2,Djidja,3285,BEN0037803285,2020,106589,14539,31657,56130,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Ouinhi,3286,,,0,ADM2,Ouinhi,3286,BEN0037803286,2020,66505,9071,19752,35022,Endemic (under MDA),66505,54774,49217,89.85,16,1,1,7,7,74,1,1,7,6,ALB+IVM,2,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Za-Kpota,3287,,,0,ADM2,Za-Kpota,3287,BEN0037803287,2020,150396,20514,44668,79199,Endemic (under MDA),150396,123867,135063,109.04,16,1,1,7,7,89.8,1,1,7,7,ALB+IVM,2,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Zagnanado,3288,,,0,ADM2,Zagnanado,3288,BEN0037803288,2020,53803,7339,15979,28333,Endemic (under MDA),53803,44312,42521,95.96,16,1,1,7,6,79.03,1,1,7,6,ALB+IVM,2,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Zou,378,Zogbodome,3289,,,0,ADM2,Zogbodome,3289,BEN0037803289,2020,114697,15645,34065,60399,Endemic (under post-intervention surveillance),0,0,0,0,12,0,0,4,4,0,0,0,4,4,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Centre,40149,,,0,ADM2,Centre,40149,SEN0411940149,2020,397986,57987,114739,209739,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Non-endemic,Non-endemic,Not requiring,Not requiring,Not requiring,
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Diamniadio,40150,,,0,ADM2,Sangalkam,40150,SEN0411940150,2020,158986,23164,45836,83786,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Non-endemic,T3,ALB-MBD,,T3
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Sangalkam,40229,,,0,ADM2,Sangalkam,40229,SEN0411940229,2020,170617,24859,49189,89915,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Non-endemic,T3,ALB-MBD,,T3
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Guediawaye,40152,,,0,ADM2,Guediawaye,40152,SEN0411940152,2020,402987,58715,116181,212374,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,High prevalence (50% and above),Non-endemic,T3 / T3,ALB-MBD / ALB-MBD,T3,T3
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Mbao,40154,,,0,ADM2,Mbao,40154,SEN0411940154,2020,419296,61091,120883,220969,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,High prevalence (50% and above),Non-endemic,T3 / T3,ALB-MBD / ALB-MBD,T3,T3
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Nord,40155,,,0,ADM2,Nord,40155,SEN0411940155,2020,536070,78105,154549,282509,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Non-endemic,Non-endemic,Not requiring,Not requiring,Not requiring,
Africa,Western Africa,AFRO,Senegal,37,SG,SN,SEN,Dakar,4119,Ouest,40156,,,0,ADM2,Ouest,40156,SEN0411940156,2020,258319,37637,74473,136134,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Non-endemic,Non-endemic,Not requiring,Not requiring,Not requiring,
